Year,Value,,Value1,Value2,,
1850,0,,0,0,,0
1851,0,,0,0,,0
1852,0,,0,0,,0
1853,0,,0,0,,0
1854,0,,0,0,,0
1855,0,,0,0,,0
1856,0,,0,0,,0
1857,0,,0,0,,0
1858,0,,0,0,,0
1859,0,,0,0,,0
1860,0,,0,0,,0
1861,0,,0,0,,0
1862,0,,0,0,,0
1863,0,,0,0,,0
1864,0,,0,0,,0
1865,0,,0,0,,0
1866,0,,0,0,,0
1867,0,,0,0,,0
1868,0,,0,0,,0
1869,0,,0,0,,0
1870,0,,0,0,,0
1871,0,,0,0,,0
1872,0,,0,0,,0
1873,0,,0,0,,0
1874,0,,0,0,,0
1875,0,,0,0,,0
1876,0,,0,0,,0
1877,0,,0,0,,0
1878,0,,0,0,,0
1879,0,,0,0,,0
1880,0,,0,0,,0
1881,0,,0,0,,0
1882,0,,0,0,,0
1883,0,,0,0,,0
1884,0,,0,0,,0
1885,0,,0,0,,0
1886,0,,0,0,,0
1887,0,,0,0,,0
1888,0,,0,0,,0
1889,0,,0,0,,0
1890,0,,0,0,,0
1891,0,,0,0,,0
1892,0,,0,0,,0
1893,0,,0,0,,0
1894,0,,0,0,,0
1895,0,,0,0,,0
1896,0,,0,0,,0
1897,0.000305492,,0.000305492,0,,0.000305492
1898,0.001211548,,0.001211548,0,,0.001211548
1899,0.077405551,,0.002117604,0.075287946,,0.07740555
1900,0.129146195,,-0.001677982,0.130824177,,0.129146195
1901,0.125476469,,-0.012687157,0.138163627,,0.12547647
1902,0.121806744,,-0.023696332,0.145503077,,0.121806745
1903,0.118800528,,-0.033710243,0.152510771,,0.118800528
1904,0.116598694,,-0.04251758,0.159116274,,0.116598694
1905,0.114396859,,-0.051324917,0.165721776,,0.114396859
1906,0.111821125,,-0.060506155,0.17232728,,0.111821125
1907,0.108885345,,-0.07004744,0.178932785,,0.108885345
1908,0.105949565,,-0.079588725,0.18553829,,0.105949565
1909,0.107590286,,-0.084553509,0.192143795,,0.107590286
1910,0.112727901,,-0.086021399,0.1987493,,0.112727901
1911,0.117865516,,-0.087489288,0.205354804,,0.117865516
1912,0.122086748,,-0.08941537,0.211502118,,0.122086748
1913,0.125756473,,-0.091617205,0.217373678,,0.125756473
1914,0.129426198,,-0.09381904,0.223245238,,0.129426198
1915,0.136097949,,-0.094519862,0.230617811,,0.136097949
1916,0.144171344,,-0.094519862,0.238691206,,0.144171344
1917,0.152244739,,-0.094519862,0.246764601,,0.152244739
1918,0.154893297,,-0.099402215,0.254295512,,0.154893297
1919,0.155627242,,-0.10600772,0.261634962,,0.155627242
1920,0.156361187,,-0.112613225,0.268974412,,0.156361187
1921,0.151833464,,-0.123895768,0.275729232,,0.151833464
1922,0.145961904,,-0.136372833,0.282334737,,0.145961904
1923,0.140090343,,-0.148849898,0.288940241,,0.140090343
1924,0.135472337,,-0.160700183,0.29617252,,0.135472337
1925,0.131068668,,-0.172443299,0.303511967,,0.131068668
1926,0.126665,,-0.184186415,0.310851415,,0.126665
1927,0.120923488,,-0.196598455,0.317521943,,0.120923488
1928,0.115051928,,-0.20907552,0.324127448,,0.115051928
1929,0.109180367,,-0.221552585,0.330732953,,0.109180368
1930,0.105442009,,-0.231896449,0.337338458,,0.105442009
1931,0.101772284,,-0.242171679,0.343943963,,0.101772284
1932,0.098141096,,-0.25242764,0.350568737,,0.098141097
1933,0.095939261,,-0.261968925,0.357908186,,0.095939261
1934,0.093737426,,-0.27151021,0.365247636,,0.093737426
1935,0.091228519,,-0.281174324,0.372402843,,0.091228519
1936,0.08535696,,-0.292183498,0.377540458,,0.08535696
1937,0.0794854,,-0.303192673,0.382678073,,0.0794854
1938,0.073924521,,-0.313994727,0.387919248,,0.073924521
1939,0.070254796,,-0.323536012,0.393790808,,0.070254796
1940,0.066585071,,-0.333077297,0.399662368,,0.066585071
1941,0.062186814,,-0.342764288,0.404951102,,0.062186814
1942,0.054847364,,-0.353039518,0.407886882,,0.054847364
1943,0.047507914,,-0.363314748,0.410822662,,0.047507914
1944,0.03979276,,-0.373965682,0.413758442,,0.03979276
1945,0.030985423,,-0.385708797,0.416694221,,0.030985424
1946,0.022178087,,-0.397451913,0.41963,,0.022178087
1947,0.010939344,,-0.412086431,0.423025775,,0.010939344
1948,-0.005626843,,-0.433056288,0.427429445,,-0.005626843
1949,-0.02219303,,-0.454026145,0.431833114,,-0.022193031
1950,-0.051910626,,-0.488419554,0.436508928,,-0.051910626
1951,-0.085916744,,-0.527563287,0.441646543,,-0.085916744
1952,-0.116438413,,-0.563222572,0.446784158,,-0.116438414
1953,-0.145459885,,-0.599895977,0.454436093,,-0.145459884
1954,-0.180566184,,-0.646011452,0.465445267,,-0.180566185
1955,-0.211832241,,-0.688286683,0.476454442,,-0.211832241
1956,-0.240389384,,-0.728565873,0.488176489,,-0.240389384
1957,-0.266161751,,-0.766815305,0.500653554,,-0.266161751
1958,-0.297721385,,-0.810852004,0.513130619,,-0.297721385
1959,-0.326889528,,-0.853294375,0.526404848,,-0.326889527
1960,-0.354466953,,-0.894816756,0.540349802,,-0.354466954
1961,-0.387494478,,-0.941789235,0.554294757,,-0.387494478
1962,-0.419199818,,-0.986998802,0.567798984,,-0.419199818
1963,-0.448550534,,-1.029560528,0.581009993,,-0.448550535
1964,-0.467960377,,-1.06218138,0.594221003,,-0.467960377
1965,-0.511559449,,-1.120440081,0.608880632,,-0.511559449
1966,-0.53112332,,-1.155416792,0.624293472,,-0.53112332
1967,-0.564339709,,-1.204046021,0.639706312,,-0.564339709
1968,-0.580695411,,-1.236339586,0.655644174,,-0.580695412
1969,-0.58985651,,-1.261647474,0.671790964,,-0.58985651
1970,-0.577379445,,-1.265317199,0.687937754,,-0.577379445
1971,-0.564902381,,-1.268986924,0.704084544,,-0.56490238
1972,-0.551982784,,-1.272214117,0.720231333,,-0.551982784
1973,-0.538037829,,-1.274415952,0.736378123,,-0.538037829
1974,-0.523483563,,-1.276617787,0.753134225,,-0.523483562
1975,-0.509331487,,-1.279346447,0.770014959,,-0.509331488
1976,-0.496120477,,-1.283016171,0.786895694,,-0.496120477
1977,-0.48225801,,-1.286685896,0.804427887,,-0.482258009
1978,-0.469535287,,-1.291577854,0.822042566,,-0.469535288
1979,-0.458526113,,-1.298183359,0.839657246,,-0.458526113
1980,-0.447516938,,-1.304788864,0.857271926,,-0.447516938
1981,-0.436507764,,-1.311394369,0.874886605,,-0.436507764
1982,-0.425496785,,-1.317999874,0.892503089,,-0.425496785
1983,-0.413753665,,-1.324605379,0.910851714,,-0.413753665
1984,-0.401620694,,-1.330821033,0.929200339,,-0.401620694
1985,-0.389187581,,-1.336692593,0.947505013,,-0.38918758
1986,-0.377444467,,-1.342564153,0.965119686,,-0.377444467
1987,-0.359221409,,-1.341955769,0.98273436,,-0.359221409
1988,-0.336727409,,-1.336818156,1.000090746,,-0.33672741
1989,-0.316176952,,-1.331680543,1.015503591,,-0.316176952
1990,-0.284721234,,-1.31563767,1.030916436,,-0.284721234
1991,-0.247033555,,-1.29361932,1.046585765,,-0.247033555
1992,-0.20813447,,-1.27160097,1.0634665,,-0.20813447
1993,-0.170784249,,-1.251131483,1.080347234,,-0.170784249
1994,-0.134768553,,-1.231314969,1.096546416,,-0.134768553
1995,-0.101007083,,-1.211498454,1.110491371,,-0.101007083
1996,-0.072271517,,-1.196707844,1.124436326,,-0.072271518
1997,-0.04447795,,-1.183496834,1.139018884,,-0.04447795
1998,-0.01512015,,-1.170285824,1.155165674,,-0.01512015
1999,-0.000176267,,-1.17148873,1.171312464,,-0.000176266
2000,0.010548131,,-1.1758924,1.186440532,,0.010548132
2001,0.019355471,,-1.18029607,1.199651541,,0.019355471
2002,0.032019166,,-1.180843385,1.212862551,,0.032019166
2003,0.042855564,,-1.180843385,1.223698949,,0.042855564
2004,0.050195014,,-1.180843385,1.231038399,,0.050195014
2005,0.065752928,,-1.172624921,1.238377849,,0.065752928
2006,0.082238689,,-1.163817582,1.24605627,,0.082238688
2007,0.099119421,,-1.155010242,1.254129662,,0.09911942
2008,0.117454185,,-1.144748869,1.262203054,,0.117454185
2009,0.138089512,,-1.134473643,1.272563155,,0.138089512
2010,0.161017896,,-1.124022324,1.28504022,,0.161017896
2011,0.187439915,,-1.11007737,1.297517285,,0.187439915
2012,0.214708463,,-1.096132415,1.310840878,,0.214708463
2013,0.243422075,,-1.081363757,1.324785832,,0.243422075
2014,0.279126336,,-1.059604451,1.338730787,,0.279126336
2015,0.31685365,,-1.037218321,1.354071971,,0.31685365
2016,0.384489515,,-0.985729246,1.370218761,,0.384489515
2017,0.448941806,,-0.937423745,1.386365551,,0.448941806
2018,0.505910774,,-0.893387045,1.399297819,,0.505910774
2019,0.542550087,,-0.868246203,1.410796291,,0.542550088
2020,0.57831767,,-0.843977092,1.422294762,,0.57831767
2021,0.598419801,,-0.815620806,1.414040607,,0.598419801
2022,0.61592773,,-0.783238259,1.399165989,,0.61592773
2023,0.712857727,,-0.750855713,1.46371344,,0.712857727
2024,0.765107239,,-0.725647086,1.490754324,,0.765107238
2025,0.804740268,,-0.702160846,1.506901114,,0.804740268
2026,0.844373298,,-0.678674606,1.523047904,,0.844373298
2027,0.883372322,,-0.655822367,1.539194689,,0.883372322
2028,0.922271393,,-0.63307008,1.555341473,,0.922271393
2029,0.961170464,,-0.610317793,1.571488257,,0.961170464
2030,0.998041129,,-0.591622336,1.589663465,,0.998041129
2031,1.034738378,,-0.573273711,1.608012089,,1.034738378
2032,1.071435627,,-0.554925086,1.626360714,,1.071435628
2033,1.106696306,,-0.538013033,1.644709339,,1.106696306
2034,1.141925666,,-0.521132298,1.663057963,,1.141925665
2035,1.177022592,,-0.50427805,1.681300642,,1.177022592
2036,1.208582227,,-0.48813126,1.696713486,,1.208582226
2037,1.240141861,,-0.47198447,1.712126331,,1.240141861
2038,1.271632863,,-0.455906313,1.727539176,,1.271632863
2039,1.302458553,,-0.440493468,1.742952021,,1.302458553
2040,1.333284243,,-0.425080624,1.758364866,,1.333284242
2041,1.363666817,,-0.410110894,1.773777711,,1.363666817
2042,1.391556727,,-0.397633829,1.789190556,,1.391556727
2043,1.419446636,,-0.385156764,1.804603401,,1.419446637
2044,1.446877771,,-0.372832625,1.819710396,,1.446877771
2045,1.472565846,,-0.361089505,1.83365535,,1.472565845
2046,1.498253921,,-0.349346385,1.847600305,,1.49825392
2047,1.523356781,,-0.337798336,1.861155117,,1.523356781
2048,1.546843012,,-0.326789165,1.873632177,,1.546843012
2049,1.570329244,,-0.315779994,1.886109238,,1.570329244
2050,1.592866613,,-0.304770822,1.897637435,,1.592866613
2051,1.613417073,,-0.293761647,1.90717872,,1.613417073
2052,1.633967532,,-0.282752472,1.916720005,,1.633967533
2053,1.653679905,,-0.272581384,1.92626129,,1.653679906
2054,1.67202853,,-0.263774045,1.935802575,,1.67202853
2055,1.690377155,,-0.254966705,1.94534386,,1.690377155
2056,1.708082763,,-0.246159365,1.954242128,,1.708082763
2057,1.724963498,,-0.237352025,1.962315523,,1.724963498
2058,1.741844233,,-0.228544685,1.970388918,,1.741844233
2059,1.757634005,,-0.220100999,1.977735004,,1.757634005
2060,1.772312904,,-0.212027605,1.984340509,,1.772312904
2061,1.786991804,,-0.20395421,1.990946014,,1.786991804
2062,1.800047502,,-0.196692416,1.996739918,,1.800047502
2063,1.811790622,,-0.190086911,2.001877533,,1.811790622
2064,1.823533742,,-0.183481406,2.007015148,,1.823533742
2065,1.834828916,,-0.176875901,2.011704817,,1.834828916
2066,1.845838091,,-0.170270396,2.016108486,,1.84583809
2067,1.856847266,,-0.16366489,2.020512156,,1.856847266
2068,1.867366346,,-0.157549479,2.024915825,,1.867366346
2069,1.877641572,,-0.151677922,2.029319494,,1.877641572
2070,1.887916799,,-0.145806364,2.033723162,,1.887916798
2071,1.896595314,,-0.139934804,2.036530118,,1.896595314
2072,1.904668708,,-0.134063245,2.038731953,,1.904668708
2073,1.912742103,,-0.128191685,2.040933788,,1.912742103
2074,1.920815498,,-0.123468893,2.044284391,,1.920815498
2075,1.928888893,,-0.119065222,2.047954116,,1.928888894
2076,1.936962288,,-0.114661552,2.051623841,,1.936962289
2077,1.942569563,,-0.110257883,2.052827446,,1.942569563
2078,1.947707178,,-0.105854213,2.053561391,,1.947707178
2079,1.952844793,,-0.101450543,2.054295336,,1.952844793
2080,1.956665056,,-0.097705549,2.054370605,,1.956665056
2081,1.960334781,,-0.094035824,2.054370605,,1.960334781
2082,1.964004506,,-0.090366099,2.054370605,,1.964004506
2083,1.968375053,,-0.085995552,2.054370605,,1.968375053
2084,1.972778723,,-0.081591882,2.054370605,,1.972778723
2085,1.977164346,,-0.077206259,2.054370605,,1.977164346
2086,1.980100127,,-0.074270478,2.054370605,,1.980100127
2087,1.983035907,,-0.071334698,2.054370605,,1.983035907
2088,1.986022856,,-0.068347749,2.054370605,,1.986022856
2089,1.989692579,,-0.064678026,2.054370605,,1.989692579
2090,1.993362303,,-0.061008302,2.054370605,,1.993362303
2091,1.996845398,,-0.057525207,2.054370605,,1.996845398
2092,1.999047233,,-0.055323372,2.054370605,,1.999047233
2093,2.001249068,,-0.053121537,2.054370605,,2.001249068
2094,2.003694732,,-0.050675873,2.054370605,,2.003694732
2095,2.007217668,,-0.047152937,2.054370605,,2.007217668
2096,2.009523588,,-0.044847017,2.054370605,,2.009523588
2097,2.009523588,,-0.044847017,2.054370605,,2.009523588
2098,2.009523588,,-0.044847017,2.054370605,,2.009523588
2099,2.009523588,,-0.044847017,2.054370605,,2.009523588
2100,2.009523588,,-0.044847017,2.054370605,,2.009523588
